歌曲ID,歌单标题,创建者昵称,创建者id,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
6952442013,[Z世代说唱] 在节奏中感受Z世代的嘻哈力量,云音乐官方歌单,1463586082,介绍：	90前的说唱歌手大多早已登入封神殿堂，90后的说唱歌手多数也成为业内代表人，满载00后说唱歌手的东风列车也已经悉数候场，有的说唱歌手潜心学习，时刻准备着展现自己的作品，有的说唱歌手也早已登上评委席...	,30,409775,2497,26,15
2695101341,[拒绝瞌睡] 跟着节拍抖腿的嘻哈音乐,原创君,201586,介绍：	抖腿说唱 / 专治各种瞌睡	戴上耳机 我就是这条gai最酷的崽	,30,9963747,78833,540,153
6862602894,[中文旋律说唱] 旋律与节奏撞出轻松惬意的时光,云音乐官方歌单,1463586082,介绍：	试穿合身的衣服时	被夸拼好的积木时	沉浸自己的世界时	买到刚出炉的点心时	赶上刚进站的地铁时	遇见聊得来的朋友时	看见遍布天空的夕阳时	窝进干净温暖的房间时	感受没有噩梦的夜晚时	你都可以点开这个歌单...	,30,2105341,15995,115,34
6700242542,[雷击顿唱片行] 让你扭动身体的异域节奏,云音乐官方歌单,1463586082,介绍：	雷击顿（Reggaeton）是一种新的音乐形式，产生于波多黎各，结合了传统Salsa音乐，牙买加的Reggae，以及Hip Hop等多种音乐风格为一体。有节奏的鼓点与畅酣的说唱很容易带动人的积极性，不自觉的想要扭腰摆臀...	,30,1325406,7786,67,25
6970792582,[Popping 练习曲] 机械律动 节奏强袭,云音乐官方歌单,1463586082,介绍：	你的专属Popping练舞管家，每日不同练习曲等你来选	,30,681226,5092,39,62
5395488578,[一周欧美说唱] 滴！果汁与比伯的冬日祝福已送达，请及时签收哦,云音乐官方歌单,1463586082,介绍：	编辑精选欧美说唱新歌	每周五更新 收藏订阅 一起SWAG！		,50,4518028,29121,143,86
6654532835,[打游戏听说唱] 说唱律动是你最佳游戏伴侣,云音乐官方歌单,1463586082,介绍：	说唱律动 Feat.超燃游戏	,30,3563896,27374,171,44
4952648595,【歐美】Trap/旋律說唱（切歌算我輸）持更,FsioruniQ,617551574,介绍：	Travis Scott，Gunna，6ix9ine，Tyga，Melly，Lil skies，lil xan，x，drake，kanye等，会更新（都是旋律性极强的歌曲，请用身体融入这个歌当中，有很多风格哦。）	,240,337052,6550,59,60
2875321368,Trap Rap R&B 杂…」,Krixx_,427713737,介绍：	杂（仅个人喜好）	,574,7115375,132550,1528,479
5269453086,「Hip-hop研究所」潮酷出街丨开启你的Swag,丨IIIIIIIIII丨,485543957,介绍：	律动的节奏感，带动你的神经，在炫酷的氛围中找到精神共鸣。		嘻哈是一种力量，诞生自阴影中，象征着美好的未来。	反映的是一种真实，是一种无畏，是一种对待事情的感性思考。		每个人都可以很嘻哈，每个人...	,313,1354597,18606,380,48
2394125021,请随机播放，切歌算你赢,codeacme17,335823191,介绍：	支持歌单合作.	,697,12597194,212732,3269,2405
4959088044,硬核「蒙古说唱」,BaynErhet,378028169,介绍：	封面是说唱歌手；Big Gee 和 Zugii	蒙古国 蒙古语说唱。	Click Click Boom说唱团体的Big Gee和Desant，Ice Top，Digital，Tatar，S&I，Rokit bay，Toonot音乐公司。J.S Bobo等等	,123,322420,5259,74,14
4867926094,日语说唱丨来自东瀛Rapper的Swag态度,丨IIIIIIIIII丨,485543957,介绍：	“情绪是信念的投影”		有一种嘻哈叫“日式Hip-Hop”。 日本Hip-Hop并非是独立诞生与发展的，它与其它街头时尚、电影、漫画等形式的文化有着不可分割的关系。		很多rapper都像古时的诗人，他们用自己的眼睛...	,248,636332,15025,306,132
2049779104,辣妹听hiphop!!,CreepyCreepyCreepy,396664333,介绍：	[持续更新]		Close your eyes count to seven	And then You will be in heaven		谁说小姐姐不听说唱？	,270,2443359,55241,1275,148
=537367797,辣妹必备做个酷girl♥,kkkbaby_,357091992,介绍：	辣妹必备哦 超好听超拽！	辣辣辣 下个辣妹就是你啦❦	,1447,1735845,30254,332,126
2841424429,脏标E大赏【续更】,Linskual,534084850,介绍：	E就是explicit		代表这首歌带脏话且没消音		歌词露骨		看起来酷		听起来更酷		嘻哈中很常见		翻译也调皮的不行		ps：		续更		顺便普及一下其他歌名后缀的意思：		acoustic- 不插电版本		remix- 授权的改编...	,2930,2189774,46064,725,541
3215209929,$殺気爆棚 超凶trap$,psy_扭不开的奥利奥,323774211,介绍：	开启照明弹，把他们射成肉泥	,66,401056,5680,112,18
2873336061,Hip-Hop旋律说唱，听你诉说这个世界,原点FM,247176530,介绍：	旋律性的说唱歌曲应该能引起很多共鸣，好听又有态度的音乐，歌词虽然有很多露骨，却以柔情的方式述说自己的态度和经历，甚至是最真实的自己，揭露的是最现实的世界，这也是Hip-Hop最有魅力的地方吧	,52,3180045,52127,620,291
5203647472,火爆的 | 中文说唱你值得拥有,圈圈的呆子,430376515,介绍：	听就完事了，别bb	爆不爆我说了算	听吧 粗暴一些	,37,479180,6019,321,1
2679916677,『Melodic Rap』 | 令人沉醉的旋律说唱 |,HsiungTheKid,358740898,介绍：	本歌单为Melodic Rap爱好者量身定制。	Melodic Rap（旋律说唱）作为当下十分火热的说唱形式和说唱发展的未来，以抓耳的旋律以及引人入胜的flow而著称，首首精选，持续更新。	（本歌单目前暂时不接受音乐人...	,363,4072921,64229,873,328
5295292555,- Rap（压 马 路）,3shMoneyAp,449479492,介绍：	不客观目录，喜欢就多听点，纯属个人喜好	,509,1563955,23551,597,18
2834027258,rapper说情话!藏在宇宙星河里的浪漫,顾柒柒不难过,346769611,介绍：	前方高能预警！rapper 要开始说情话啦，这份高甜的rap合集请注意查收。	希望你的梦里有甜甜的大白兔奶糖，有不会融化的草莓冰淇淋，有温度刚好的安慕希，有刚新鲜出炉的大肉包，有新鲜的苹果汁，有黏黏的香...	,346,2090519,29453,313,141
6611168504,这里有你喜欢的欧美嗓音,Zxy在向下扎根,443546368,介绍：	RAP是美国黑人音乐中的重要组成部分，是街头文化的主要基调，是世界流行音乐中的一块“黑色巧克力”。精心收集了欧美流行说唱，好听的RAP让你一次听个够。	,34,169792,6861,2755,1
6663187462,EMO Rap |情绪说唱| New wave | 丧,Judith_ANGEL,485795511,介绍：	坏情绪都是难免的，但生活还是要继续的，早日康复	,965,1188643,169219,1806,20
5013820355,Urban制造所：与你内心的阴霾挥别,灵魂超市才不卖月亮,304641565,介绍：	夏日接踵而至	闲暇之余风光正盛	在充满科技色彩的空间	放松你的身体随之舞动	探索urban中的轻快节奏	感受情绪肆意的宣泄	驱散阴霾和苟且	而我们也要调整慵懒状态	用心聆听都市之美	,56,434568,5355,95,56
6610703103,东京街头嘻哈正在入侵,Zxy在向下扎根,443546368,介绍：	以往和传统流行市场所认可的流派相比，hip-hop仍旧只是个外来者。不过近几年，日本hip-hop文化的兴起令人感到十分欣喜。		不仅如此，如今日本各大城市可供选择的说唱类型呈现出多元化的趋势。Hip-hop最早通...	,45,149837,6880,2725,3
2621595367,40首「硬核」健身【核精神氮泵】,Rabbit-Run-,316039327,介绍：	歌曲都是我平时健身听的	dubstep rap 旋死 重金属	喜欢的小伙伴们点个收藏	我们深蹲到天亮		,42,685703,6927,54,80
3097267488,“爱 在 黄 昏日落 时”,涵崽ikn,1829676170,介绍：	对大部分的喜欢都是一时的 包括爱也是。	建议：听完歌单再去评论		,43,1007923,10677,90,19
2644743965,【海外说唱】超级好听英文Rap歌单,棉花糖Edm,357701301,介绍：	多以西海岸说唱为主，只是选择性挑自己喜欢的歌进歌单。（随机播放，惊喜不断.）（喜欢就收藏，爱就分享.）不固定更新哈。	,148,716825,10044,86,106
2523624603,迷幻Trap|嘻哈毒鸡汤,SteveRillex,395293841,介绍：	最早的“Trap”在俚语里指的是毒品交易的地方和难以挣脱的生存环境，这个词起源于亚特兰大，Dungeon Family， Outkast， Goodie Mob和Ghetto Mafia等黑人嘻哈歌手是最早在音乐内容加入“Trap”的歌手。歌迷和...	,113,5807606,82268,1141,343
5363801096,2020 Billboard 说唱年榜收录,云音乐说唱专区,3856379473,介绍：	2020年 Billboard年榜说唱最热单曲收录，歌单顺序根据排名决定	,51,898949,8549,73,52
2689902290,♥︎ 超 甜 rap 想 和 你 坠 入 爱 河 ♥︎,站在月亮上的少女,401377310,介绍：	甜甜的恋爱很快就会轮到你啦	2021一定会是美好的一年	,51,6551039,84576,922,220
2688991686,那些酒吧里放的特别拽的歌曲$,2-5R,438047742,介绍：	在酒吧里听过但是你不知道歌名的那些歌	,135,440759,5953,69,59
5206470585,说唱｜听rapper说情话，甜到你心里,灵魂诗仙,1426292524,介绍：	宇宙诞生银河流淌着的是星空	爱人的情话微甜星球也初生陨石	正义与雷电碰撞能源流失故土	量子力学的浪漫凝聚态最终融合	所有遇见的事因为有你都变得浪漫起来.	,18,3760759,17262,866,378
6708035697,【RAP】Dear God.,M7_Rye,3897820119,介绍：	哥谭市五好居民。	不分类 啥类型也有，	,1204,14102,230,104,2
